Task,Model,Accuracy,F1-Score,Precision,Sensitivity,Specificity,ROC AUC,CK Value,Time (s),iou
M1_CT_Classification,EfficientNet-B0,0.9879518072289156,0.9881717020884897,0.989156626506024,0.9682539682539683,1.0,0.9984943710818083,0.9794146825396826,0,
M2_LIDC_Segmentation,ResNet-50,0.9915000796318054,0.6840049028396606,0.6429792046546936,0.7306227684020996,0.9948267340660095,,,0,0.5197624564170837
M3_Rads_Classification,VGG-16,0.678030303030303,0.8081264108352144,0.8364485981308412,0.7816593886462883,0.0,0.6766063630692452,-0.18479408658922902,0,
